id,name,founded_year,website,facebook,instagram,linkedin,contact_phone,bio,head_office_location,total_residential_projects,total_commercial_projects,is_active,sort,deleted_at,created_at,updated_at,total_projects_count
196,"{""ar"": ""بي تي سي ريال إستيت ديفيلوبمنت"", ""en"": ""PTC Real Estate Development""}",2015,https://ptceg.com/,https://www.facebook.com/profile.php?id=100094536243182,https://www.instagram.com/ptc.developments/,NULL,+20 10 22272000,"{""ar"": ""تأسست شركة بي تي سي للتطوير العقاري عام 2015، وهي شركة رائدة في قطاع العقارات المصري. تركز الشركة على إثراء المجتمع بمشاريع سكنية وترفيهية وسياحية وتجارية مرموقة. تتخصص الشركة في تطوير مجتمعات سكنية حديثة وراقية ومشاريع سكنية ذكية تستخدم أحدث التقنيات."", ""en"": ""PTC Real Estate Development, established in 2015, is a leading company in Egypts real estate sector. The company focuses on enriching the community with prestigious residential, recreational, tourism, and commercial projects. They specialize in developing modern, upscale residential communities and smart residential projects utilizing the latest technologies.""}","Sodic West Square Mall, 3rd floor, Beverly Hills, Sheikh Zayed.",0,0,1,0,NULL,1/10/2026 12:38,NULL,10
197,"{""ar"": ""دونز ديفيلوبمنتس"", ""en"": ""Dunes Developments""}",2008,https://dunesdevelopments.com/,https://www.facebook.com/dunesdevelopments,https://www.instagram.com/dunesdevelopments/,https://www.linkedin.com/company/dunes-developments/,+20 16228,"{""ar"": ""دونز ديفيلوبمنتس هي شركة عقارية مصرية تأسست عام 2008، وتكرس جهودها لتحويل الطموحات إلى واقع استثنائي. تقوم الشركة بتطوير مجتمعات حيوية لا تقدم مجرد منازل، بل أنماط حياة فريدة، مستلهمة من محفظة عالمية تمتد لأكثر من 40 دولة. بفضل فريق قيادي ذي خبرة في مشاريع بارزة، تقدم دونز ديفيلوبمنتس مشاريع سكنية واستثمارية عالية الجودة ترسي معايير جديدة للرفاهية في مصر."", ""en"": ""Dunes Developments is an Egyptian real estate company founded in 2008, dedicated to transforming aspirations into extraordinary realities. They craft vibrant communities that offer not just homes, but exceptional lifestyles, drawing inspiration from a global portfolio spanning over 40 countries. With a leadership team experienced in iconic projects, Dunes delivers high-quality residential and investment developments that set new benchmarks for luxury living.""}","26th of July Corridor, Sheikh Zayed City",0,0,1,0,NULL,1/10/2026 12:38,NULL,6
198,"{""ar"": ""سوليمار للتطوير العقاري"", ""en"": ""Solimar Developments""}",2012,solimardevelopments.com,https://www.facebook.com/SolimarDevelopment/,https://www.instagram.com/solimardevelopments/,NULL,+20 10 01003594,"{""ar"": ""سوليمار للتطوير العقاري هي مطور عقاري بارز في مصر، متخصص في المشاريع السكنية والتجارية والمنتجعات المتكاملة. وقد أنشأت الشركة محفظة متنوعة تضم سبعة مجمعات سكنية تقع استراتيجيًا في أكتوبر والشيخ زايد والقاهرة. تأسست عام 2012، وتُعرف سوليمار كشركة مصرية رائدة في مجال التطوير العقاري."", ""en"": ""Solimar Developments is a prominent real estate developer in Egypt, specializing in integrated residential, commercial, and resort projects. The company has established a diverse portfolio that includes seven compounds strategically located across October, Sheikh Zayed, and Cairo. Founded in 2012, Solimar is recognized as a leading Egyptian company in the field of real estate development.""}","37 El Batal Ahmed Abdel Aziz Street, Mohandessin, Giza, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,7
199,"{""ar"": ""إي في آي دي إيجيبت ديفيلوبمنتس"", ""en"": ""EFID Egypt Developments""}",NULL,https://efidegypt.com/,https://www.facebook.com/EFIDDevelopmen/,https://www.instagram.com/efiddevelopments/,https://eg.linkedin.com/company/efiddevelopments,+20 10 50100900,"{""ar"": ""إي في آي دي ديفيلوبمنتس هي مطور عقاري بخبرة تزيد عن 20 عامًا، وتركز على العقارات السكنية والتجارية الفاخرة في مواقع متميزة في جميع أنحاء مصر. تهدف الشركة إلى تقديم مشاريع متكاملة بمرافق استثنائية، مما يخلق بيئات حيوية وديناميكية. تشمل محفظتها سلسلة بارك فالي، التي تضم العديد من المشاريع التي تحتوي على فيلات فاخرة ووحدات تجارية وإدارية متنوعة في الشيخ زايد."", ""en"": ""EFID Egypt Developments is a realty developer with over 20 years of experience, focusing on luxury residential and commercial properties in prime locations across Egypt. The company aims to offer integrated projects with exceptional amenities, creating lively and dynamic environments. Their portfolio includes the Park Valley series, featuring numerous projects with luxury villas and various commercial and administrative units in Sheikh Zayed.""}","Office 1202, Building No.1, Park Street Mall, Sheikh Zayed, Giza, El Shikh Zaid, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
200,"{""ar"": ""بليدج ديفلوبمنت"", ""en"": ""Pledge Development""}",2014,https://pledgedevelopments.com/,https://www.facebook.com/pldgdevelopment/,https://www.instagram.com/pldgdevelopment,https://www.linkedin.com/company/pldg-development,2.01E+11,"{""ar"": ""شركة بليدج ديفلوبمنت هي مطور عقاري مصري مقرها مدينة 6 أكتوبر تتولى تنفيذ مشروعات سكنية وتجارية في القاهرة والجيزة والساحل الشمالي. تركز الشركة على التصميم العصري ومعايير الاستدامة وجودة التسليم مع الاهتمام بخدمة العملاء وما بعد البيع. تسوق بليدج نماذج سكنية ومشروعات مختلطة وساحلية وتدير المبيعات من مقرها في داراه جاردنز بمول أكاسيا."", ""en"": ""Pledge Development is an Egyptian real estate developer headquartered in 6th of October City that delivers residential and commercial projects across Cairo, Giza and the North Coast. The company emphasizes modern design, sustainability and customer-focused delivery across mid- and high-end communities. It markets mixed-use and coastal developments and operates sales and after-sales services from its Darah Gardens/Acacia Mall office.""}","Acacia Mall, Darah Gardens, Gamal Abd Elnasir Axis, 6 October City, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,9
201,"{""ar"": ""زادة ديفيلوبمنتس"", ""en"": ""ZADA Developments""}",NULL,https://zadadevelopments.com/,https://www.facebook.com/zada.dev/,https://www.instagram.com/zada.developments,https://www.linkedin.com/company/zadadevelopments,+20 16088,"{""ar"": ""شركة زادة للتطوير العقاري هي شركة ذات رؤية مستقبلية تتماشى مع التطورات العقارية المصرية والعالمية، وتولي الأولوية للاستدامة من خلال الممارسات الصديقة للبيئة. بدأت الشركة مسيرتها كمقاولين في مواقع مصرية رئيسية مثل الشيخ زايد، وبيت الوطن، ومدينة السادس من أكتوبر. ثم توسعت زادة عملياتها لتشمل مدينة أنطاليا في تركيا، مما يعكس نموها وتنوع محفظة مشاريعها."", ""en"": ""ZADA Developments is a forward-thinking company aligned with Egyptian and global real estate trends, prioritizing sustainability through eco-friendly practices. The company began as contractors in key Egyptian locations such as Sheikh Zayed, Beit El Watan, and 6th of October City. ZADA later expanded its operations to include Antalya City in Turkey, showcasing its growth and diverse project portfolio.""}","Palm Hills Square, Izar Plaza, 3rd Floor, Sheikh Zayed, Al Jizah 12556, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
202,"{""ar"": ""فيفيندا ديفيلوبمنتس"", ""en"": ""Vivienda Developments""}",2014,https://vivienda.com.eg,https://www.facebook.com/viviendadevelopment/,https://www.instagram.com/viviendadevelopments/,https://www.linkedin.com/company/viviendadevelopments,+20 19281,"{""ar"": ""فيفيندا ديفيلوبمنتس هي شركة عقارية بارزة في مصر، تأسست في عام 2014 كشركة تابعة لمجموعة AM. تتخصص الشركة في المشروعات السكنية، وتعمل بشكل أساسي في شرق القاهرة، وقد وسعت مؤخرًا محفظتها لتشمل غرب القاهرة بممشروعات مثل فيلات جائين. وهي معروفة بممشروعاتها السكنية المميزة في المناطق الرئيسية."", ""en"": ""Vivienda Developments is a prominent real estate company in Egypt, established in 2014 as a subsidiary of AM Group. The company specializes in residential projects, primarily operating in East Cairo, and has recently expanded its portfolio to include West Cairo with developments like Jaén Villas. They are recognized for their distinctive residential projects in prime areas.""}","Villa 106, in front of gate 4 AUC, New Cairo City, Egypt",6,0,1,0,NULL,1/10/2026 12:38,NULL,6
203,"{""ar"": ""بنباز"", ""en"": ""BINBAZ Developments""}",NULL,https://binbazdevelopments.com,https://www.facebook.com/binbaz.developments/,https://www.instagram.com/binbaz_developments,https://www.linkedin.com/company/binbaz-developments/,+20 15982,"{""ar"": ""شركة بنباز للتطوير العقاري تعمل في مصر ومتخصّصة في تصميم وبناء مجتمعات سكنية تتمحور حول الإنسان. مشروعهم الأول المُعلن، ويستفيل، يوفر شققاً مخدومة ومنازل سكنية بالقرب من مول مصر ويركّز على الراحة والابتكار والاستدامة. تركز بنباز على تسليم أحياء مخططة بعناية تجمع بين المرافق الحديثة والطابع المجتمعي."", ""en"": ""BINBAZ Developments is an Egypt-focused real estate developer that designs and builds human-centered residential communities. Their first announced project, Westville, offers serviced apartments and residential homes near Mall of Egypt and emphasizes comfort, innovation, and sustainability. BINBAZ aims to deliver thoughtfully planned neighborhoods that blend modern amenities with community-oriented design.""}","Building Point 192, 6th Floor, North Teseen St., New Cairo",1,0,1,0,NULL,1/10/2026 12:38,NULL,1
204,"{""ar"": ""نايا للتطوير"", ""en"": ""NAIA Developments""}",2021,https://naiadevelopments.com/,https://www.facebook.com/NAIADevelopments,https://www.instagram.com/naiadevelopments/,https://www.linkedin.com/company/naiadevelopments/,16331,"{""ar"": ""نايا للتطوير هي شركة عقارية مصرية تأسست عام 2021. تتخصص الشركة في تقديم مشاريع عقارية متنوعة مصممة لرفع مستوى المعيشة. تركز محفظتهم على خلق بيئات معيشية أفضل في جميع أنحاء مصر."", ""en"": ""NAIA Developments is an Egyptian real estate company established in 2021. The company specializes in offering diverse real estate projects designed to enhance living standards. Their portfolio focuses on creating better living environments across Egypt.""}","Sodic West, Polygon, Building No. 3, Floor 1, Unit No. A31, Sheikh Zayed",0,0,1,0,NULL,1/10/2026 12:38,NULL,2
205,"{""ar"": ""جِنْوَا دِيفِيلُوبْمِنْتِس"", ""en"": ""Genwa Developments""}",2006,https://www.genwadevelopments.com/,NULL,NULL,https://www.linkedin.com/company/genwa-development,NULL,"{""ar"": ""تأسست جنوا ديفيلوبمنتس في عام 2006، وهي قوة ديناميكية في مجال العقارات، ملتزمة بتحويل المشهد العمراني وتقديم قيمة استثنائية من خلال مشاريعها. تركز الشركة على إتقان كل جانب من جوانب التطوير، مع التركيز على التصميم المبتكر والاستدامة والجودة. تسعى جنوا جاهدة لإنشاء حلول عقارية مؤثرة تساهم بشكل إيجابي في نمو المجتمع وتطوره."", ""en"": ""Genwa Developments, established in 2006, is a dynamic force in real estate, committed to transforming landscapes and delivering exceptional value through its projects. The company focuses on mastering every facet of development, emphasizing innovative design, sustainability, and quality. They strive to create impactful real estate solutions that contribute positively to community growth and development.""}","El-Bostan, First Al Sheikh Zayed, Parkst., Building 1, Office 1203, Giza, El Shikh Zayed 41516, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
206,"{""ar"": ""بيبۆل أند بليسز"", ""en"": ""People & Places""}",2022,https://www.peopleandplacesint.com,https://www.facebook.com/peopleandplacesint/,NULL,https://www.linkedin.com/company/peopleand-places,NULL,"{""ar"": ""شركة بيبۆل أند بليسز هي مطور عقاري مصري يركّز على تصميم مجتمعات مسوّرة ومشروعات منتجعية تضع الإنسان في قلب التجربة. تأسست عام 2022 وأطلقت مشروعها الرائد ذا ميد على الساحل الشمالي وتطوّور مجتمعات كـ هيلز أوف ون في نيو زايد. تتبنّى الشركة نهجًا تصميميًا ومستدامًا وتشارك مع مشغّلي ضيافة لتقديم مشروعات تركز على نمط الحياة."", ""en"": ""People & Places is an Egyptian real estate developer focused on designing human‑centric gated communities and resort destinations. Founded in 2022, the firm launched its flagship The Med North Coast resort and develops large‑scale communities such as Hills of One in New Zayed. The company emphasizes sustainable, design‑driven communities and partners with hospitality operators to deliver lifestyle‑led developments.""}","Building (A12) Cairo Business Park, plot No. 1 at El- Koronfel Service Center - New Cairo - Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,5
207,"{""ar"": ""إيديك ديفلوبمنت"", ""en"": ""Edic Development""}",NULL,https://www.edicdevelopment.com/,https://www.facebook.com/EDIC.Eg,https://www.instagram.com/edic_developments/,https://www.linkedin.com/company/edic-development,+20 15286,"{""ar"": ""إيديك ديفلوبمنت هي شركة استثمار واستشارات عقارية سريعة النمو في مصر، تأسست عام 2021 بخبرة واسعة في مناطق 6 أكتوبر والشيخ زايد. نجحت الشركة في تطوير محفظة متنوعة تشمل القطاعات السكنية والتجارية والإدارية. من أبرز مشاريعها كلافيل، ودي آر 5، وسيليستيا، وأيقون مول، وجولدن ووك، وسيرفو، مما يبرز التزامها بالتنمية العمرانية الشاملة."", ""en"": ""EDIC Developments is a rapidly growing real estate investment and consultancy firm in Egypt, established in 2021 with extensive experience in the 6th of October and Sheikh Zayed areas. The company has successfully developed a diverse portfolio across residential, commercial, and administrative sectors. Their notable projects include Clavel, DR5, Celestia, Icon Mall, Golden Walk, and Ciervo, showcasing their commitment to comprehensive urban development.""}","Beverly Hills El Shikh Zaid, Giza, Egypt",2,4,1,0,NULL,1/10/2026 12:38,NULL,6
209,"{""ar"": ""ناميا ديفيلوبمنتس"", ""en"": ""Namya Developments""}",NULL,https://namyadevelopments.com/,https://www.facebook.com/Namya.West/,https://www.instagram.com/namya_developments/,NULL,2.01E+11,"{""ar"": ""ناميا ديفيلوبمنتس، التي كانت تُعرف سابقًا باسم الزهراء، هي شركة عقارية ملتزمة بالابتكار والتطوير المستمر. تتمتع الشركة بخبرة تزيد عن ثلاثة عقود، وهي متخصصة في تطوير العقارات السكنية والتجارية على حد سواء. وقد أنجزت بنجاح أكثر من 25 مشروعًا في الإسكندرية و7 مشاريع في القاهرة، بما في ذلك مركز تجاري في بيفرلي هيلز."", ""en"": ""Namya Developments, formerly known as Al-Zahraa, is a real estate company committed to innovation and continuous growth. With over three decades of experience, the firm specializes in developing both residential and commercial properties. They have successfully completed more than 25 projects in Alexandria and 7 projects in Cairo, including a commercial mall in Beverly Hills.""}","Sheikh Zayed City, Giza, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,32
210,"{""ar"": ""جويرا للتطوير"", ""en"": ""Guira Developments""}",2016,https://guiradevelopments.com/,https://www.facebook.com/profile.php?id=100087504402582,https://www.instagram.com/guiradevelopments/,https://www.linkedin.com/company/guiradevelopments/,+20 3 4248558,"{""ar"": ""جويرا للتطوير هي شركة عقارية مصرية تأسست عام 2016 على يد عائلة بدوي، بهدف إعادة تعريف مفهوم الحياة العصرية. تستفيد الشركة من خبرة تزيد عن 75 عامًا في مجالات الإنشاءات والتطوير العقاري وإدارة المرافق. تلتزم جويرا ببناء مجتمعات نابضة بالحياة وخلق ذكريات دائمة لعملائها."", ""en"": ""Guira Developments is an Egyptian real estate enterprise founded in 2016 by the Badawi family, aiming to redefine contemporary living. The company leverages over 75 years of expertise in construction, real estate development, and facility management. Guira is dedicated to building vibrant communities and creating lasting memories for its clients.""}","14, Bahaa El-Din ElGhatwary, Semouha, Alexandria",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
211,"{""ar"": ""ميلي"", ""en"": ""Melee""}",NULL,https://thisismelee.com/,https://facebook.com/profile.php?id=61550589162481,https://instagram.com/melee_development/,https://eg.linkedin.com/company/thisismelee,+20 2 17147,"{""ar"": ""تأسست ميلي برؤية جريئة لإعادة تصور كيفية عيش الناس وعملهم وتواصلهم، مما يخلق مساحات معيشية لا مثيل لها. كشركة تطوير عقاري خاصة، تعمل عند تقاطع الهندسة المعمارية والثقافة والتأثير. كل مشروع تقوم به ميلي هو جهد تعاوني عبر تخصصات مختلفة، مصمم للإلهام ومبني ليصمد."", ""en"": ""Melee was founded with a bold vision to reimagine how people live, work, and connect, creating unparalleled living spaces. As a privately held development company, it operates at the intersection of architecture, culture, and impact. Every project undertaken by Melee is a collaborative effort across various disciplines, designed to inspire and built to endure.""}","5A, New Cairo, Cairo, Egypt",4,3,1,0,NULL,1/10/2026 12:38,NULL,9
212,"{""ar"": ""دومينيك للاستثمار والتطوير"", ""en"": ""Dominic Investment and Development""}",2005,https://didegy.com/,https://www.facebook.com/doiminickinvestment/,https://www.instagram.com/did.egy/,NULL,NULL,"{""ar"": ""دومينيك للاستثمار والتطوير هي شركة عقارية تأسست عام 2005 كجزء من مجموعة دومينيك. تهدف الشركة إلى تقديم حلول عقارية متنوعة تلبي احتياجات العملاء وتفضيلاتهم في السوق المصري. تشتهر الشركة بمشاريعها مثل دبليو جيت ريزيدنس، مما يؤكد التزامها بالتطوير العقاري عالي الجودة."", ""en"": ""Dominic Investment and Development is a real estate company established in 2005 as part of the Dominick Group. The company aims to offer diverse real estate solutions that cater to customer needs and preferences. They are known for projects like W Gate Residence, demonstrating their commitment to quality developments.""}","Izar Plaza, Sheikh Zayd, Giza, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
213,"{""ar"": ""فاي ديفيلوبمنتس"", ""en"": ""VAI Developments""}",NULL,https://www.vaidevelopments.com,https://www.facebook.com/VAIDevelopments/,https://www.instagram.com/vaidevelopments/,NULL,15886,"{""ar"": ""فاي ديفيلوبمنتس متخصصة في ابتكار مساحات فريدة تحكي قصصًا جذابة. إنهم يحققون ذلك من خلال المزج السلس بين التصميم المبتكر والميزات الفاخرة والحصرية. مهمتهم الأساسية هي بناء مستقبل العقارات، اليوم."", ""en"": ""VAI Developments specializes in crafting unique spaces that narrate compelling stories. They achieve this by seamlessly blending innovative design with luxurious and exclusive features. Their core mission is to build the future of real estate, today.""}","Waterway, B1, Unit BS05, Mohamed Naguib Axis, New Cairo",0,0,1,0,NULL,1/10/2026 12:38,NULL,3
214,"{""ar"": ""سي ديفيلوبمنتس"", ""en"": ""C Developments""}",NULL,http://cdevelopments.com.eg/,https://www.facebook.com/CdevelopmentsEg/,https://www.instagram.com/cdevelopmentseg/,https://www.linkedin.com/company/cdevelopments,+20 15487,"{""ar"": ""شركة سي ديفيلوبمنتس هي مطور عقاري مصري يركّز على تنفيذ مشروعات سكنية وتجارية معاصرة في القاهرة الكبرى. تؤكد الشركة على الجودة والوظيفية والقيمة طويلة الأجل من خلال اختيار مواقع استراتيجية وتقديم خدمات متكاملة وتصاميم حديثة. تضم محفظتها مشروعات مختلطة وسكنية مثل سي آر سي إل مول (CRCL Mall) بالقاهرة الجديدة، أجان ريزيدنس بزايد، ومشروعات سكنية في النرجس وشمال الرحاب."", ""en"": ""C Developments is an Egyptian real estate developer focused on delivering contemporary residential and commercial projects across Greater Cairo. The company emphasizes quality, functionality and long-term value through strategic site selection, integrated services and modern design. Its portfolio includes mixed-use and residential developments such as CRCL Mall New Cairo, AJAN Residence (Sheikh Zayed) and residential projects in El-Narges and Al-Rehab.""}","Building 15 - 4th District - In front of AUC - South 90th Street - Fifth Settlement, New Cairo, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,6
215,"{""ar"": ""مباني إدريس"", ""en"": ""Mabany Edris""}",1998,https://mabanyedris.com/,https://www.facebook.com/MabanyEdris/,https://www.instagram.com/mabanyedrisegypt/,https://www.linkedin.com/company/mabanyedris,(+202) 38653868,"{""ar"": ""مباني إدريس هي مطور عقاري رائد. تعمل الشركة برؤية مجتمعية محورية. هدفها هو بناء وجهات مستدامة حيث يمكن للناس العيش والعمل والتواصل والنمو."", ""en"": ""Mabany Edris is a pioneering real estate developer. The company operates with a community-centric vision. Its goal is to build sustainable destinations where people can live, work, connect, and grow.""}","Capital Business Park, Building 3, El Sheikh Zayed, Egypt.",0,0,1,0,NULL,1/10/2026 12:38,NULL,11
217,"{""ar"": ""إي بي دي ديفيلوبمنتس"", ""en"": ""EPD Developments""}",NULL,https://epdevelopments.com/,https://www.facebook.com/egy.plan.developments/,https://www.instagram.com/epd_developments,https://www.linkedin.com/company/epd-egy-plan-developments,19076,"{""ar"": ""شركة إي بي دي ديفيلوبمنتس هي شركة عقارية ديناميكية تتمتع بخبرة تزيد عن عقد من الزمان، ويقودها رئيس مجلس الإدارة هيثم طه عبد العزيز. قامت الشركة بتسليم أكثر من 450 وحدة بنجاح في الشيخ زايد و6 أكتوبر، مع التركيز على الفخامة والرقي. تلتزم إي بي دي بالابتكار والاستدامة وتجاوز التوقعات لإحداث تأثير دائم في البيئة العمرانية."", ""en"": ""EPD Developments is a dynamic real estate company with over a decade of experience, led by Chairman Haitham Taha Abdel Aziz. The company has successfully delivered more than 450 units across Sheikh Zayed and 6 October, focusing on luxury and sophistication. EPD is committed to innovation, sustainability, and exceeding expectations to make a lasting impact on the built environment.""}","The Courtyard - El-Sheikh Zayed - Building 320C, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,2
218,"{""ar"": ""سياك ديفيلوبمنتس"", ""en"": ""SIAC Developments""}",NULL,https://www.siacdevelopments.com,NULL,NULL,https://www.linkedin.com/company/siacdevelopments,+20 2 25868670,"{""ar"": ""شركة سياك ديفيلوبمنتس هي الذراع التطويري العقاري لمجموعة سياك وتنفذ مشاريع سكنية وتجارية وصناعية فاخرة في أنحاء مصر. تستفيد الشركة من خبرات المجموعة في الإنشاء ومواد البناء والهندسة لتطوير مجتمعات متكاملة وحدائق صناعية وتجارية مثل ريوايا واكتوبر هيلز والمشروع الإداري ذا سنترال بالعاصمة الإدارية الجديدة. تركز سياك ديفيلوبمنتس على الهندسة عالية الجودة والتصميم الموجَّه لنمط الحياة مع تطبيق معايير الاستدامة في الشيخ زايد وغرب القاهرة ومناطق النمو الأخرى."", ""en"": ""SIAC Developments is the real estate development arm of SIAC Holding that delivers high-end residential, commercial and industrial projects across Egypt. The company leverages its parent groups construction, materials and engineering expertise to create integrated communities and business or industrial parks such as Rewaya, October Hills and The Central in the New Administrative Capital. SIAC Developments emphasizes sustainable, high-quality engineering and lifestyle-driven design focused on Sheikh Zayed, western Cairo and other growth areas.""}","Majarrah, Block 12, 26th of July Corridor, Sheikh Zayed City, Giza Governorate, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,8
219,"{""ar"": ""إيه إم كابيتال ديفيلوبمنتس"", ""en"": ""AM Capital Developments""}",2013,https://amcapital-eg.com/,https://www.facebook.com/AMCapitalDevelopment,https://www.instagram.com/amcapitaldevelopments,https://www.linkedin.com/company/a-m-capital-developments/,2.01E+11,"{""ar"": ""شركة إيه إم كابيتال ديفيلوبمنتس هي مطور عقاري مصري تعمل منذ عام 2013، تطوّر مشروعات سكنية وتجارية وفندقية في شرق وغرب القاهرة. تركز الشركة على التصميم المعماري الحديث، والبُنى التحتية المتكاملة، والمخططات الرئيسية المرتكزة على المجتمع لإنتاج منتجات سكنية ومختلطة الاستخدام متمايزة. تشمل المحفظة الرسمية مشروعات في الشيخ زايد مثل Haven وHaven II وHaven III وAmjad."", ""en"": ""AM Capital Developments is an Egyptian real estate developer operating since 2013, delivering residential, commercial and hotel projects across East and West Cairo. The company emphasizes modern architectural design, integrated infrastructure and community-focused masterplans to create differentiated housing and mixed-use products. Its official portfolio includes projects in Sheikh Zayed such as Haven, Haven II, Haven III and Amjad.""}","Sheikh Zayed - Al Nozha Street - Plot No. 648 - in front of Zed Towers, Sheikh Zayed, Giza, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
220,"{""ar"": ""أوراسكوم للتنمية القابضة"", ""en"": ""Orascom Development Holding""}",NULL,https://www.orascomdh.com/,https://www.facebook.com/OrascomDevelopment,https://www.instagram.com/orascomdevelopment/?hl=en,https://www.linkedin.com/company/orascom-development-holding,NULL,"{""ar"": ""أوراسكوم للتنمية هي مطور عالمي رائد متخصص في المجتمعات المتكاملة والنابضة بالحياة عبر أوروبا والشرق الأوسط وشمال إفريقيا. بخبرة تزيد عن 34 عامًا، كانت الشركة رائدة في إنشاء وجهات حيث يمكن للناس العيش والعمل واللعب بشغف وهدف. تدير حاليًا محفظة أراضٍ تتجاوز 100 مليون متر مربع، مع تطوير حوالي 40% منها إلى مجتمعات مزدهرة، بما في ذلك العديد في مصر."", ""en"": ""Orascom Development is a leading international developer specializing in vibrant, integrated communities across Europe, the Middle East, and North Africa. With over 34 years of experience, the company has pioneered creating destinations where people can live, work, and play with purpose. It currently manages a land bank exceeding 100 million square meters, with approximately 40% developed into thriving communities, including several in Egypt.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,9
221,"{""ar"": ""آي جي آي ديفيلوبمنتس"", ""en"": ""IGI Developments""}",1994,https://igi-developments.com/,https://www.facebook.com/igi.realestate.eg/,https://www.instagram.com/igidevelopments/,https://www.linkedin.com/company/igidevelopments/,16124,"{""ar"": ""آي جي آي ديفيلوبمنتس هي مطور عقاري مصري رائد بخبرة تزيد عن 30 عامًا، تأسست عام 1994. اشتهرت الشركة بريادتها للمجمعات السكنية المغلقة في مصر، بدءًا من كمبوند جاردينيا في مدينة 6 أكتوبر. تقدم الشركة محفظة متنوعة من المشاريع السكنية والمتعددة الاستخدامات الراقية، مع التركيز على الفخامة والراحة والاستدامة."", ""en"": ""IGI Developments is a leading Egyptian real estate developer with over 30 years of experience, founded in 1994. They are known for pioneering gated communities in Egypt, starting with the Gardenia compound in 6th of October City. The company offers a diverse portfolio of upscale residential and mixed-use developments, focusing on luxury, convenience, and sustainability.""}","Arkan: Building 10 – 4th floor – office F3-4-1A, Al-Ashgar compound, Ashgar City compound",0,0,1,0,NULL,1/10/2026 12:38,NULL,12
222,"{""ar"": ""دال ديفيلوبمنتس"", ""en"": ""Dal Developments""}",2023,https://daldevelopments.com/,https://www.facebook.com/DalDevelopments/,https://www.instagram.com/daldevelopments/,https://www.linkedin.com/company/daldevelopments,17266,"{""ar"": ""دال ديفيلوبمنتس هي مطور عقاري صاعد في السوق المصري الديناميكي، تستفيد من نموذج فريد مبني على الثقة والابتكار بخبرة تعاونية في قطاع التطوير. تأسست الشركة عام 2023، وقد جمعت فريقًا من المهنيين الموهوبين المكرسين لتشكيل مستقبل العقارات. وتعمل بفخر جنبًا إلى جنب مع شقيقتها الكبرى، دالتكس، الرائدة عالميًا في تطوير وإنتاج وتصدير المنتجات الزراعية."", ""en"": ""Dal Developments is a rising real estate developer in the dynamic Egyptian market, leveraging a unique model built on trust and innovation with collaborative experience in the development sector. Founded in 2023, the company has assembled a team of talented professionals dedicated to shaping the future of real estate. It proudly operates alongside its elder sister, DALTEX, a global pioneer in agriculture development, production, and exports.""}","Gate plaza mall, building b2 , 3rd floor , Sheikh Zayed",0,0,1,0,NULL,1/10/2026 12:38,NULL,3
223,"{""ar"": ""معالم جروب"", ""en"": ""Maalem Group""}",2007,https://maalem-group.com/,https://www.facebook.com/maalemgroup/,https://www.instagram.com/maalemgroup/,https://www.linkedin.com/company/maalem-group/,2.01E+11,"{""ar"": ""تعمل مجموعة معالم كمطور عقاري وشركة إنشاءات مصرية تُنفّذ مشروعات سكنية وتجارية ومختلطة في مختلف أنحاء مصر. تأسست عام 2007، وتتميز بتركيزها على التصميم وتطوير مشاريع متعددة تشمل مواقع في القاهرة الجديدة، زايد الجديدة، والإسماعيلية. تضع معالم الاستدامة وجودة التنفيذ في مقدمة أولوياتها وتقدم خدمات متكاملة من التخطيط وحتى التسليم وإدارة الممتلكات."", ""en"": ""Maalem Group is an Egyptian real estate developer and construction firm delivering residential, commercial and mixed‑use projects across Egypt. Established in 2007, the company highlights design-led developments and a multi‑project track record including developments in New Cairo, New Zayed and Ismailia. Maalem emphasizes sustainable construction, full-service property management and sales support from planning through delivery.""}","Villa 182 Al Amal St, Choueifat, First New Cairo, Cairo Governorate, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
